#generation,max_fitness, avg_fitness, min_fitness, best A, best B, best C, best D, best_individual_gtype
----------------------------------------------
#   parents  xsite  gtype       A   B   C   D  fitness
83  ( 32, 53)   3  [0111101000001010100011001110001001100110] -3.457  -5.957  +0.918  +8.652  +120.000
84  ( 35, 10)  11  [0010011011010010001100101011110101011001] -5.371  -1.211  -6.055  -2.168  +120.000
85  ( 10, 18)  13  [0010011101010010001001011000100010110001] -5.449  -1.191  -1.328  -5.664  +66.667
86  ( 41, 40)  12  [1101010110110101000000111100100100100110] +1.953  +1.875  -6.816  -1.172  +66.667
87  ( 10, 35)  11  [0010011101010010010011101010101010000100] -5.449  -1.113  +3.984  +5.137  +53.333
88  ( 13,  2)  29  [1000000000110001110100001110100010000111] +9.980  +0.430  -9.141  -5.117  +13.333
89  ( 40, 45)  22  [0111001111110101000000101000100110111100] -2.715  +1.875  -6.191  -4.219  +13.333
90  ( 44,  5)  33  [0111110010100100111010110010001110100000] -3.203  +7.715  +7.188  +3.750  +13.333
91  ( 37,  0)  13  [0011011011111111010101110011000011100110] -7.148  +3.242  -2.676  -6.348  +13.333
92  ( 48, 13)  21  [0001011111111101100101001110101001010001] -7.930  +2.832  -0.879  +8.086  +13.333
93  ( 46,  1)  23  [0010101100100111111110100111000001010100] -6.094  +8.320  +5.449  -7.988  +0.000
94  ( 18, 48)   4  [1110011111111101100101010001000100010111] +4.570  +2.832  -2.363  -0.527  +0.000
95  ( 45, 40)  22  [1011110000100010110110011100100100100110] +6.855  +8.926  +8.184  -1.172  +0.000
96  ( 15,  2)  34  [0001110100100000110011011110111110100111] -8.281  +9.824  +1.602  +3.848  +0.000
97  ( 51, 38)   8  [1000000110100000001000011100101000101101] +9.902  +9.922  -8.203  +8.926  +0.000
98  ( 38, 56)  28  [0000000010100000001000011100111100011011] -9.941  +9.922  -8.184  +0.352  +0.000
99  ( 39,  0)  15  [0110100111110110010101110011000011100110] -3.867  +1.367  -2.676  -6.348  +0.000
total mutate 0
  1, 3726.666667, 634.133333, 0.000000, -2.949219, -6.601562, -7.968750, -7.988281, [0111011101001111100100010111000001010100]
----------------------------------------------
#   parents  xsite  gtype       A   B   C   D  fitness
0   (  5,  5)  39  [1110111000011100000001010110010000100000] +4.062  -2.520  -2.168  -8.770  +3713.333
1   ( 12,  3)   6  [0011001001000100101101111011100000010011] -7.227  -7.773  -3.535  -9.434  +2966.667
2   (  1, 86)  34  [0010011101011101001011011111000001000110] -5.449  -3.066  +1.699  -7.598  +2700.000
3   ( 26, 20)  38  [1110111000011100001011011111000001010010] +4.062  -2.578  +1.699  -8.066  +2520.000
4   ( 44,  2)  18  [0100011000010010101101110011000011100110] -0.332  -0.996  -2.676  -6.348  +2406.667
5   (  6,  6)  39  [0111010011011111001001011000100010110001] -3.086  -3.203  -1.328  -5.664  +2260.000
6   (  2, 22)  36  [0100010110011011010101110011000011100010] -0.547  -4.258  -2.676  -6.328  +1826.667
7   (  8,  0)   9  [1100101011001111100100010111000001010100] +0.977  -6.602  -7.969  -7.988  +1813.333
8   ( 51, 34)  16  [0100101011001000000100010111000000100110] -0.996  -5.039  -7.969  -8.848  +1800.000
9   ( 31, 20)  28  [0100010110011011011001010011010011111011] -0.547  -4.297  -2.324  -6.621  +1766.667
10  ( 40, 43)  31  [0011001111011011010101110011000001010011] -7.305  -4.258  -2.676  -8.086  +1700.000
11  ( 22, 53)  27  [0100010110011011011111110011010001010011] -0.547  -4.277  +2.676  -8.086  +1686.667
12  ( 84,  4)  10  [0010011011001001111010111001110011101101] -5.371  -5.410  +6.348  -6.445  +1600.000
13  (  4,  8)  19  [0011001111001001111001110011000011100110] -7.305  -5.410  -2.676  -6.348  +1573.333
14  ( 15, 20)  21  [0100010110011011010101010111000001010100] -0.547  -4.258  -2.051  -7.988  +1566.667
15  (  0,  0)  39  [0111011101001111100100010111000001010100] -2.949  -6.602  -7.969  -7.988  +1540.000
16  ( 36, 26)  27  [0010101100010100000011100000000001010011] -6.094  -2.500  +4.980  -8.086  +1353.333
17  ( 47, 26)  20  [0001110001000100101101011111000001010011] -8.164  -7.773  -1.719  -8.086  +1346.667
18  ( 16,  5)  22  [0100010110011011010101110110010000100000] -0.547  -4.258  -2.852  -8.770  +1340.000
19  ( 43, 40)  31  [0100010110011011011111110011010011100110] -0.547  -4.277  +2.676  -6.348  +1326.667
20  (  2, 12)  29  [0100010110011011010101110011000111000001] -0.547  -4.258  -2.676  -2.539  +1280.000
21  ( 34, 51)  16  [0111011101001111110101110011000011100110] -2.949  -6.699  -2.676  -6.348  +1280.000
22  ( 14,  9)  20  [0111010011011111001001111010110001010011] -3.086  -3.203  -3.496  -8.086  +1206.667
23  (  0,  8)   9  [0111011101001000010101110011000011100110] -2.949  -5.137  -2.676  -6.348  +1173.333
24  ( 72, 44)   7  [0011001110011011010101110011000011100010] -7.285  -4.258  -2.676  -6.328  +1113.333
25  (  2,  2)  39  [0100010110011011010101110011000011100110] -0.547  -4.258  -2.676  -6.348  +1106.667
26  (  9,  7)  20  [0111000100001111100001011000100000100110] -2.656  -6.582  -1.328  -8.848  +1100.000
27  ( 18, 68)   5  [1110111111000001011111110011100101011110] +4.160  -9.492  +2.715  -2.109  +1093.333
28  ( 39, 46)  34  [0100011000010010101101110011000011110011] -0.332  -0.996  -2.676  -6.836  +1046.667
29  (  6,  2)  21  [0111010011011111001001110011000011100110] -3.086  -3.203  -2.676  -6.348  +986.667
30  ( 22,  0)   4  [0100011101001111100100010111000001010100] -0.449  -6.602  -7.969  -7.988  +980.000
31  ( 26, 47)  20  [1110111000011100001011111011100000010011] +4.062  -2.578  +3.516  -9.434  +966.667
32  (  6, 40)  27  [0111010011011111001001011000000011100110] -3.086  -3.203  -1.270  -6.348  +960.000
33  ( 13,  0)  11  [0100010110011111100100010111000001010100] -0.547  -3.418  -7.969  -7.988  +946.667
34  (  9, 14)  20  [0111000100001111100001110011000011100110] -2.656  -6.582  -2.676  -6.348  +913.333
35  (  0,  0)   4  [0111011101001111100100010111000001010100] -2.949  -6.602  -7.969  -7.988  +893.333
36  ( 46,  3)  33  [0001110001000100101101111011100000010011] -8.164  -7.773  -3.535  -9.434  +893.333
37  (  0, 13)  11  [0111011101001011011001010011010011111011] -2.949  -5.723  -2.324  -6.621  +873.333
38  (  1,  5)  17  [0010011101011101000001010110010000100000] -5.449  -3.125  -2.168  -8.770  +840.000
39  ( 15,  0)  16  [0100010110011011000100010111000001010100] -0.547  -4.355  -7.969  -7.988  +833.333
40  (  7, 21)  32  [1110011101010010001001011000100001010100] +4.551  -1.191  -1.328  -7.988  +820.000
41  (  8, 44)  11  [1100101011001011010101110011000011100010] +0.977  -5.762  -2.676  -6.328  +813.333
